"","Anthophora_terminalis","Stelis_verticalis","Anthidium_manicatum","Megachile_campanulae","Megachile_pugnata","Megachile_rotundata","Megachile_frigida","Megachile_brevis","Megachile_mendica","Megachile_centucularis","Megachile_inermis","Megachile_relativa","Megachile_sculpturalis","Coelioxys_alternata","Coelioxys_moesta","Coelioxys_sayi","Chelostoma_campanularum","Chelostoma_rapunculi","Heriades_crucifera","Heriades_variolosa","Hoplitis_producta","Hoplitis_spoliata","Hoplitis_truncata","Osmia_lignaria","Osmia_atriventis","Osmia_pumila","Osmia_caerulescens","Hylaeus_modestus","Hylaeus_affinis","Hylaeus_punctatus","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Hylaeus_annulatus","Hylaeus_mesillae","Hylaeus_verticalis"
"AFA",1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20,0,0,0,0,0,0,0,0
"AFB",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,68,0,0,0,0,0,0,0,0
"AFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFE",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,0,0,0,0,0,0,0,0
"AFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
"AFI",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"AFJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"AFK",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"AFL",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"AFM",0,0,0,0,0,77,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,29,0,0,0,0,0,0,0,0
"AFN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFP",0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFQ",0,0,0,0,44,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFR",0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
"AFS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFT",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,2,0,0,0,0,0,0,0
"AFU",0,0,0,24,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,64,0,0,0,0,0,0,0,0,0
